doi,filename,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,domain_type,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,equity_inclusion,strengths_and_limitations,lessons_learned,validity_notes,coder_id,notes,reconciliation_notes
10.1002/ldr.842,doi_10.1002_ldr.842.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-030-45106-6_130,doi_10.1007_978-3-030-45106-6_130.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-030-45106-6_204,doi_10.1007_978-3-030-45106-6_204.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/978-3-319-31392-4_13,doi_10.1007_978-3-319-31392-4_13.html,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10584-005-9035-9,doi_10.1007_s10584-005-9035-9.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10584-022-03477-x,doi_10.1007_s10584-022-03477-x.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s10668-021-01545-3,doi_10.1007_s10668-021-01545-3.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s12571-016-0607-5,doi_10.1007_s12571-016-0607-5.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s13351-015-4083-1,doi_10.1007_s13351-015-4083-1.html,,,,,,,,,,,,,,,,,,,,,,
10.1007/s43621-025-00848-z,doi_10.1007_s43621-025-00848-z.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1007/s44274-025-00357-w,doi_10.1007_s44274-025-00357-w.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/bs.agron.2016.06.003,doi_10.1016_bs.agron.2016.06.003.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agee.2013.08.017,doi_10.1016_j.agee.2013.08.017.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2007.02.003,doi_10.1016_j.agsy.2007.02.003.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2010.06.001,doi_10.1016_j.agsy.2010.06.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2012.05.003,doi_10.1016_j.agsy.2012.05.003.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2017.01.002,doi_10.1016_j.agsy.2017.01.002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.agwat.2019.03.001,doi_10.1016_j.agwat.2019.03.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.apgeog.2017.10.004,doi_10.1016_j.apgeog.2017.10.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.biocon.2018.03.005,doi_10.1016_j.biocon.2018.03.005.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.crte.2008.07.004,doi_10.1016_j.crte.2008.07.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2011.07.004,doi_10.1016_j.ecolecon.2011.07.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2018.06.023,doi_10.1016_j.ecolecon.2018.06.023.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2019.106359,doi_10.1016_j.ecolecon.2019.106359.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2012.11.001,doi_10.1016_j.envdev.2012.11.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2016.12.002,doi_10.1016_j.envdev.2016.12.002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.envsci.2019.05.005,doi_10.1016_j.envsci.2019.05.005.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.fcr.2011.12.011,doi_10.1016_j.fcr.2011.12.011.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.fcr.2012.07.014,doi_10.1016_j.fcr.2012.07.014.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2006.11.008,doi_10.1016_j.gloenvcha.2006.11.008.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2007.05.001,doi_10.1016_j.gloenvcha.2007.05.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2010.09.001,doi_10.1016_j.gloenvcha.2010.09.001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2013.03.002,doi_10.1016_j.gloenvcha.2013.03.002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2014.12.008,doi_10.1016_j.gloenvcha.2014.12.008.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.gloenvcha.2015.03.009,doi_10.1016_j.gloenvcha.2015.03.009.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2018.e00797,doi_10.1016_j.heliyon.2018.e00797.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2019.e01492,doi_10.1016_j.heliyon.2019.e01492.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.ijdrr.2018.06.011,doi_10.1016_j.ijdrr.2018.06.011.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jaridenv.2008.06.011,doi_10.1016_j.jaridenv.2008.06.011.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jaridenv.2016.12.014,doi_10.1016_j.jaridenv.2016.12.014.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jclepro.2021.128129,doi_10.1016_j.jclepro.2021.128129.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jenvman.2015.11.060,doi_10.1016_j.jenvman.2015.11.060.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jenvman.2023.119708,doi_10.1016_j.jenvman.2023.119708.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jhydrol.2012.08.007,doi_10.1016_j.jhydrol.2012.08.007.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.jrurstud.2025.103884,doi_10.1016_j.jrurstud.2025.103884.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2016.07.022,doi_10.1016_j.landusepol.2016.07.022.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2019.104353,doi_10.1016_j.landusepol.2019.104353.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.marpol.2020.104195,doi_10.1016_j.marpol.2020.104195.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.pce.2011.08.004,doi_10.1016_j.pce.2011.08.004.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.rsase.2018.07.012,doi_10.1016_j.rsase.2018.07.012.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2016.01.098,doi_10.1016_j.scitotenv.2016.01.098.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2020.139120,doi_10.1016_j.scitotenv.2020.139120.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2025.107102,doi_10.1016_j.worlddev.2025.107102.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1017/s001447971100010x,doi_10.1017_s001447971100010x.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1017/s174217051300029x,doi_10.1017_s174217051300029x.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1051/e3sconf_202455901015,doi_10.1051_e3sconf_202455901015.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1080/02626667.2011.630002,doi_10.1080_02626667.2011.630002.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1080/14735903.2013.863450,doi_10.1080_14735903.2013.863450.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1186/2048-7010-1-15,doi_10.1186_2048-7010-1-15.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1186/s13002-016-0113-z,doi_10.1186_s13002-016-0113-z.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1186/s13570-014-0019-0,doi_10.1186_s13570-014-0019-0.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1186/s40066-023-00429-1,doi_10.1186_s40066-023-00429-1.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1186/s40068-020-00202-4,doi_10.1186_s40068-020-00202-4.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1186/s40152-014-0009-2,doi_10.1186_s40152-014-0009-2.pdf,,,,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0196392,doi_10.1371_journal.pone.0196392.pdf,,,,,,,,,,,,,,,,,,,,,,
10.14198/ingeo.26589,doi_10.14198_ingeo.26589.html,,,,,,,,,,,,,,,,,,,,,,
10.1515/opag-2022-0144,doi_10.1515_opag-2022-0144.pdf,,,,,,,,,,,,,,,,,,,,,,
10.15446/agron.colomb.v37n1.77545,doi_10.15446_agron.colomb.v37n1.77545.pdf,,,,,,,,,,,,,,,,,,,,,,
10.17159/2413-3221_2020_v48n1a526,doi_10.17159_2413-3221_2020_v48n1a526.pdf,,,,,,,,,,,,,,,,,,,,,,
10.17159/2413-3221_2025_v53n5a21390,doi_10.17159_2413-3221_2025_v53n5a21390.pdf,,,,,,,,,,,,,,,,,,,,,,
10.17159/sajs.2023_15001,doi_10.17159_sajs.2023_15001.pdf,,,,,,,,,,,,,,,,,,,,,,
10.17582/journal.pjar_2019_32.4.691.705,doi_10.17582_journal.pjar_2019_32.4.691.705.pdf,,,,,,,,,,,,,,,,,,,,,,
10.18402/resci.2021.09.14,doi_10.18402_resci.2021.09.14.html,,,,,,,,,,,,,,,,,,,,,,
10.18472/sustdeb.v11n1.2020.30505,doi_10.18472_sustdeb.v11n1.2020.30505.pdf,,,,,,,,,,,,,,,,,,,,,,
10.20937/atm.2017.30.02.01,doi_10.20937_atm.2017.30.02.01.pdf,,,,,,,,,,,,,,,,,,,,,,
10.24181/tarekoder.698795,doi_10.24181_tarekoder.698795.pdf,,,,,,,,,,,,,,,,,,,,,,
10.26480/wcm.01.2020.20.31,doi_10.26480_wcm.01.2020.20.31.pdf,,,,,,,,,,,,,,,,,,,,,,
10.29244/jtcs.12.01.158-171,doi_10.29244_jtcs.12.01.158-171.pdf,,,,,,,,,,,,,,,,,,,,,,
10.30852/sb.2021.1587,doi_10.30852_sb.2021.1587.pdf,,,,,,,,,,,,,,,,,,,,,,
10.30852/sb.2023.2223,doi_10.30852_sb.2023.2223.pdf,,,,,,,,,,,,,,,,,,,,,,
10.31893/multiscience.2025083,doi_10.31893_multiscience.2025083.pdf,,,,,,,,,,,,,,,,,,,,,,
10.3389/fagro.2025.1634867,doi_10.3389_fagro.2025.1634867.pdf,,,,,,,,,,,,,,,,,,,,,,
10.3389/fclim.2022.1067630,doi_10.3389_fclim.2022.1067630.pdf,,,,,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2019.00053,doi_10.3389_fsufs.2019.00053.pdf,,,,,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2023.1236581,doi_10.3389_fsufs.2023.1236581.pdf,,,,,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2025.1564812,doi_10.3389_fsufs.2025.1564812.pdf,,,,,,,,,,,,,,,,,,,,,,
10.3844/ajessp.2011.178.182,doi_10.3844_ajessp.2011.178.182.pdf,,,,,,,,,,,,,,,,,,,,,,
10.4102/jamba.v11i1.674,doi_10.4102_jamba.v11i1.674.pdf,,,,,,,,,,,,,,,,,,,,,,
10.4102/jamba.v13i1.1093,doi_10.4102_jamba.v13i1.1093.pdf,,,,,,,,,,,,,,,,,,,,,,
10.4314/jae.v25i4.6,doi_10.4314_jae.v25i4.6.pdf,,,,,,,,,,,,,,,,,,,,,,
10.5304/jafscd.2019.091.037,doi_10.5304_jafscd.2019.091.037.pdf,,,,,,,,,,,,,,,,,,,,,,
10.56578/cis130403,doi_10.56578_cis130403.pdf,,,,,,,,,,,,,,,,,,,,,,
10.5751/es-05705-180424,doi_10.5751_es-05705-180424.pdf,,,,,,,,,,,,,,,,,,,,,,
10.5751/es-12245-260127,doi_10.5751_es-12245-260127.pdf,,,,,,,,,,,,,,,,,,,,,,
10.6090/jarq.41.25,doi_10.6090_jarq.41.25.pdf,,,,,,,,,,,,,,,,,,,,,,
10.5194/esd-7-977-2016,doi_10.5194_esd-7-977-2016.html,,,,,,,,,,,,,,,,,,,,,,
10.1007/s11069-016-2551-2,doi_10.1007_s11069-016-2551-2.html,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2016.04.002,doi_10.1016_j.worlddev.2016.04.002.html,,,,,,,,,,,,,,,,,,,,,,
10.1016/j.eja.2016.03.004,doi_10.1016_j.eja.2016.03.004.html,,,,,,,,,,,,,,,,,,,,,,
10.1108/ijccsm-10-2015-0149,doi_10.1108_ijccsm-10-2015-0149.html,,,,,,,,,,,,,,,,,,,,,,
