doi,title,year,publication_year,publication_type,country_region,geographic_scale,producer_type,marginalized_subpopulations,adaptation_focus,process_outcome_domains,indicators_measured,methodological_approach,purpose_of_assessment,data_sources,temporal_coverage,cost_data_reported,strengths_and_limitations,lessons_learned,coder_id,notes
10.1002/ldr.842,Local perceptions and regional climate trends on the Central Plateau of Burkina Faso,2008.0,,,,,,,,,,,,,,,,,,
10.1007/978-3-030-45106-6_28,Assessment of Farmers’ Indigenous Technology Adoptions for Climate Change Adaptation in Nigeria,2021.0,,,,,,,,,,,,,,,,,,
10.1007/s10457-017-0111-8,"Local tree knowledge can fast-track agroforestry recommendations for coffee smallholders along a climate gradient in Mount Elgon, Uganda",2018.0,,,,,,,,,,,,,,,,,,
10.1007/s10584-020-02817-z,The value of climate-resilient seeds for smallholder adaptation in sub-Saharan Africa,2020.0,,,,,,,,,,,,,,,,,,
10.1007/s10745-021-00256-7,"Social-Ecological Change on the Mongolian Steppe: Herder Perceptions of Causes, Impacts, and Adaptive Strategies",,,,,,,,,,,,,,,,,,,
10.1007/s43621-025-01534-w,Climate-smart agricultural practices by smallholder cocoa farmers in the semi-deciduous forest agro-ecological zone of Ghana,2025.0,,,,,,,,,,,,,,,,,,
10.1016/b978-0-12-812624-0.00004-1,"Adaptation to and Coping Strategies for Climate Change and Variability by Rural Farmers in Kigezi Highlands, Uganda",2018.0,,,,,,,,,,,,,,,,,,
10.1016/j.agee.2008.05.009,"Technical, economical and social actions of farmers to mitigate water deficit in Tamaulipas, Mexico",2008.0,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2016.10.001,Smallholder farmers managing climate risk in India: 1. Adapting to a variable climate,2017.0,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2019.102773,The impact of climate change on farming system selection in Ghana,2020.0,,,,,,,,,,,,,,,,,,
10.1016/j.agsy.2026.104700,Fences that farm: How boundary planting makes agroforestry work for smallholders in hilly farming systems,,,,,,,,,,,,,,,,,,,
10.1016/j.agwat.2020.106495,Sustainability of rice-based livelihoods in the upper floodplains of Vietnamese Mekong Delta: Prospects and challenges,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.agwat.2025.109478,Social capital and behavioral response to water scarcity: Sustainable agriculture policies pathways for adopting dry direct-seeded rice,,,,,,,,,,,,,,,,,,,
10.1016/j.eap.2014.08.001,"Flood, cropping pattern choice and returns in agriculture: A study of Assam plains, India",2014.0,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2018.09.018,Use of Integrated Soil Fertility Management Technologies in Malawi: Impact of Dry Spells Exposure,,,,,,,,,,,,,,,,,,,
10.1016/j.ecolecon.2022.107598,The potential impact of fishing in peruvian marine protected areas (MPAs) on artisanal fishery poverty during El Nino events,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2018.11.004,Indigenous people's responses to drought in northwest Bangladesh,2019.0,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2019.100466,"Climate perceptions, farmers' willingness-to-insure farms and resilience to climate change in Northern region, Ghana",,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2020.100578,Participatory and rapid vulnerability assessments to support adaptation planning in small-scale fishing communities of the Benguela Current Large Marine Ecosystem,,,,,,,,,,,,,,,,,,,
10.1016/j.envdev.2021.100618,Equity and implications of response strategies on gender relations: Identifying ways of mainstreaming gender into response strategies in Southeast Nigeria,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.fcr.2013.10.014,Evaluation of climate adaptation options for Sudano-Sahelian cropping systems,2014.0,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2020.e04694,Character strengths and sustainable technology adoption by smallholder farmers,,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2020.e05541,"A systems approach toward climate resilient livelihoods: A case study in Thai Nguyen province, Vietnam",2020.0,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2021.e06653,Is investment in Climate-Smart-agricultural practices the option for the future? Cost and benefit analysis evidence from Ghana,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2021.e07217,Gender-specific determinants of Zai technology use intensity for improved soil water management in the drylands of Upper Eastern Kenya,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2023.e18512,"Salinity hazard drives the alteration of occupation, land use and ecosystem service in the coastal areas: Evidence from the south-western coastal region of Bangladesh",,,,,,,,,,,,,,,,,,,
10.1016/j.heliyon.2024.e28003,Rural households' livelihood adaptation strategies in the face of changing climate: A case study from Pakistan,2024.0,,,,,,,,,,,,,,,,,,
10.1016/j.ijdrr.2015.02.002,Farmers' initiative on adaptation to climate change in the Northern Agro-pastoral Ecotone,,,,,,,,,,,,,,,,,,,
10.1016/j.ijdrr.2021.102406,Parametric and non-parametric estimates of willingness to pay for weather index insurance in Malawi,,,,,,,,,,,,,,,,,,,
10.1016/j.ijdrr.2025.105309,Drought impacts and community adaptation: Perspectives on the 2020-2023 drought in East Africa,,,,,,,,,,,,,,,,,,,
10.1016/j.indic.2025.100630,Does social capital influence the intensity of conservation agriculture adoption among smallholder farmers in Malawi?,,,,,,,,,,,,,,,,,,,
10.1016/j.jaridenv.2020.104202,Agricultural land use change under climate variability and change: Drivers and impacts,2020.0,,,,,,,,,,,,,,,,,,
10.1016/j.jebo.2023.10.040,Adaptive investment with land tenure and weather risk: Behavioral evidence from Tanzania,2024.0,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2016.04.012,How smallholder farmers adapt to agricultural drought in a changing climate: A case study in southern China,2016.0,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2019.104354,Barriers and requirements to climate change adaptation of mountainous rural communities in developing countries: The case of the eastern Qinghai-Tibetan Plateau of China,2020.0,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2020.104858,Understanding the adoption of climate change adaptation strategies among smallholder farmers: Evidence from land reform beneficiaries in South Africa,2020.0,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2021.105666,Adoption of climate‐smart agriculture among smallholder farmers: Does farmer entrepreneurship matter?,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.landusepol.2024.107066,A novel system for boosting land productivity and income of smallholder farmers by intercropping vegetables in waterlogged paddy fields in the coastal zone of the Ganges Delta.,,,,,,,,,,,,,,,,,,,
10.1016/j.marpol.2024.106342,""" Akili zetu ziwe moja / Let our minds be one"": Emergent strategy for adapting to seafood insecurity in coastal Kenyan fishing communities",,,,,,,,,,,,,,,,,,,
10.1016/j.njas.2018.12.002,Perceived climate risks and adaptation drivers in diverse coffee landscapes of Uganda,2019.0,,,,,,,,,,,,,,,,,,
10.1016/j.resenv.2021.100029,Impact of climate adaptation strategies on the net farm revenue of underutilised indigenous vegetables’ (UIVs) production in Southwest Nigeria,2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.rsase.2021.100536,"Land Use and Land Cover changes in Lake Bosumtwi Watershed, Ghana (West Africa)",2021.0,,,,,,,,,,,,,,,,,,
10.1016/j.rsma.2023.103030,Climate change adaptation and fishers' subjective well-being in Indonesia: Is there a link?,,,,,,,,,,,,,,,,,,,
10.1016/j.scitotenv.2018.04.429,"A framework to investigate drivers of adaptation decisions in marine fishing: Evidence from urban, semi-urban and rural communities",2018.0,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2012.08.002,The Impact of Climate Shocks on Seed Purchase Decisions in Malawi: Implications for Climate Change Adaptation,2013.0,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2017.09.002,"Weather Shocks, Coping Strategies, and Consumption Dynamics in Rural Ethiopia",2018.0,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2018.03.017,Women's participation in environmental decision-making: quasi-experimental evidence from northern Kenya.,,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2023.106467,One for all and all for one: Increasing the adaptive capacity of households and communities through a public work programme,2024.0,,,,,,,,,,,,,,,,,,
10.1016/j.worlddev.2025.107102,Meteorological disasters and labor allocation in rural China: A gendered perspective,2025.0,,,,,,,,,,,,,,,,,,
10.1016/j.wsif.2022.102651,Gender-based differences in access to and use of loans from rural credit programs for flood adaptation in the farming-dependent char communities of Bangladesh,2022.0,,,,,,,,,,,,,,,,,,
10.1017/s0014479716000673,Examining the drivers of agricultural experimentation among smallholder farmers in Malawi,2018.0,,,,,,,,,,,,,,,,,,
10.1038/s41598-023-51066-4,Impact of weather and climate advisories on agricultural outcomes in Pakistan,2024.0,,,,,,,,,,,,,,,,,,
10.1051/cagri/2018009,Conservation Agriculture to buffer and alleviate the impact of climatic variations in Madagascar: Farmers' perception,2018.0,,,,,,,,,,,,,,,,,,
10.1051/cagri/2019019,Côte d'Ivoire's cashew nut boom: A social and ecological transition of the cotton and cocoa systems,2019.0,,,,,,,,,,,,,,,,,,
10.1051/ocl/2021004,"Examining the role of institutional support in enhancing smallholder oilseed producers' adaptability to climate change in Limpopo Province, South Africa",2021.0,,,,,,,,,,,,,,,,,,
10.1057/s41599-019-0288-8,Does climate opportunity facilitate smallholder farmers’ adaptive capacity in the Sahel?,2019.0,,,,,,,,,,,,,,,,,,
10.1057/s41599-023-02380-9,"Gendered vulnerabilities to climate change and farmers’ adaptation responses in Kwara and Nassarawa States, Nigeria",2023.0,,,,,,,,,,,,,,,,,,
10.1080/17477891.2024.2414816,Disaster risk reduction measures and farmers choices: a discrete choice experiment in Uganda,2025.0,,,,,,,,,,,,,,,,,,
10.1108/17568691311299354,The process of social adaptation towards climate change among Malaysian fishermen,2013.0,,,,,,,,,,,,,,,,,,
10.1186/2193-1801-3-154,"Agro-ecosystem and socio-economic role of homegarden agroforestry in Jabithenan District, North-Western Ethiopia: Implication for climate change adaptation",2014.0,,,,,,,,,,,,,,,,,,
10.1186/s40066-023-00418-4,Impacts of climate-resilient push–pull technology on farmers’ income in selected counties in Kenya and Tanzania: propensity score matching approach,2023.0,,,,,,,,,,,,,,,,,,
10.1186/s40066-024-00497-x,"Farmers' risk attitude, agricultural technology adoption and impacts in Eastern India",,,,,,,,,,,,,,,,,,,
10.1186/s40066-025-00597-2,Agro-environmental and socioeconomic determinants of crop diversification in salinity-affected coastal production systems of Bangladesh: an empirical analysis,,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0212994,Understanding disaster resilience in communities affected by recurrent drought in Lesotho and Swaziland—A qualitative study,2019.0,,,,,,,,,,,,,,,,,,
10.1371/journal.pone.0220433,Climate change adaptation and the role of fuel subsidies: An empirical bio-economic modeling study for an artisanal open-access fishery,,,,,,,,,,,,,,,,,,,
10.14719/pst.7103,Crop diversification and water-efficient irrigation: Insights from the TNIAMP initiative in the Cauvery Delta sub-basin,2025.0,,,,,,,,,,,,,,,,,,
10.1515/opag-2025-0426,"Digital motivation, knowledge, and skills: Pathways to adaptive millennial farmers",2025.0,,,,,,,,,,,,,,,,,,
10.15517/am.v30i1.32615,Use of Ecosystem-based Adaptation practices by smallholder coffee farmers in Central America,2019.0,,,,,,,,,,,,,,,,,,
10.15740/has/ajes/10.1/90-94,Adoption of climate resilient agricultural technologies and its impact on aliba village under Mokokchung district of Nagaland.,,,,,,,,,,,,,,,,,,,
10.18006/2025.13(4).531.537,Multidimensional Analysis of Meteorological Information as a Lever for Adoption of Climate-Smart Agricultural Practices: a Case Study in Senegal,2025.0,,,,,,,,,,,,,,,,,,
10.18488/journal.ajard.2021.114.291.301,Effects of climate-smart agriculture adoption on performance of rice farmers in northeast vietnam,2021.0,,,,,,,,,,,,,,,,,,
10.18697/ajfand.86.16815,"RURAL LIVELIHOOD VULNERABILITIES, COPING STRATEGIES AND OUTCOMES: A CASE STUDY IN CENTRAL RIFT VALLEY OF ETHIOPIA; RURAL LIVELIHOOD VULNERABILITIES, COPING STRATEGIES AND OUTCOMES: A CASE STUDY IN CENTRAL RIFT VALLEY OF ETHIOPIA",,,,,,,,,,,,,,,,,,,
10.18697/ajfand.87.18355,Adoption of climate-smart droughttego® varieties in Kenya,2019.0,,,,,,,,,,,,,,,,,,
10.30852/sb.2022.1757,"Rainwater harvesting for enhancing upland agriculture: Lessons and experiences in selected upland farming communities in Albay Province, Philippines",2022.0,,,,,,,,,,,,,,,,,,
10.30852/sb.2023.2224,Farmers’ perceptions on the impact of climate change: Case study of the agricultural sector of Cambodia,2023.0,,,,,,,,,,,,,,,,,,
10.30955/gnj.004859,"Assessment of observed temperature trend patterns of Bhubaneswar city, India with special prominence on future projections using SimCLIM climate model and farmer’s perception",2024.0,,,,,,,,,,,,,,,,,,
10.3389/fmars.2021.600150,Scenario-Based Approaches to Change Management in Fisheries Can Address Challenges With Scale and Support the Implementation of an Ecosystem Approach to Fisheries Management,,,,,,,,,,,,,,,,,,,
10.3389/frwa.2025.1597293,"Socio-hydrology and sustainable tank management: empirical case from a Mailam tank cascade, Tamil Nadu, India",2025.0,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2019.00037,Co-designing Climate-Smart Farming Systems With Local Stakeholders: A Methodological Framework for Achieving Large-Scale Change,2019.0,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2022.1067649,Livelihood adaptive capacities and adaptation strategies of relocated households in rural China,2022.0,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2023.1039562,"Indigenous farmers’ perception of climate vulnerability, barriers and factors influencing farmers adaptation intention: evidence from mountainous area of Vietnam",2023.0,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2023.1139631,Asymmetries in climate change and livestock productivity: non-linear evidence from autoregressive distribution lag mode,2023.0,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2025.1682042,Adaptive household strategies for sustaining crop production under conditions of water scarcity in semi-arid South Africa,2025.0,,,,,,,,,,,,,,,,,,
10.3389/fsufs.2026.1695946,Farm-level diagnosis and adaptation strategies for sustainable beef production in Tunisia under climate change,,,,,,,,,,,,,,,,,,,
10.3389/fvets.2025.1690335,Thriving against the odds through positive deviant behavior: technology adoption and entrepreneurship among dairy farmers in Addis Ababa and Oromia in Ethiopia,,,,,,,,,,,,,,,,,,,
10.37394/232015.2023.19.102,"Perceptions on Climate Change and Satisfaction on Adaptive Measures: Farmer Field Evidence from Punjab, Pakistan",2023.0,,,,,,,,,,,,,,,,,,
10.37425/eajsti.v4i3.672,"Economics of Rice Irrigation Technologies in Kilombero Sub-Basin: A Case of Farming Households from Kilombero in Morogoro, Tanzania",2023.0,,,,,,,,,,,,,,,,,,
10.37773/ees.v7i2.1060,Farmers’ Perceptions of Climate Change and their Adaptation in a semi-Arid Region in India,2024.0,,,,,,,,,,,,,,,,,,
10.4102/td.v17i1.744,"A gendered approach to drought-coping mechanisms: A case of the Lubombo region, Eswatini",,,,,,,,,,,,,,,,,,,
10.4314/agrosh.v19i1.5,"Empirical analysis of adaptation strategies used in mitigating flood related losses by rice farmers in Kwara State, Nigeria.",,,,,,,,,,,,,,,,,,,
10.4314/jae.v29i3.12,"Utilisation of extension services for climate change adaptation by male and female arable crop farmers in Bayelsa State, Nigeria.",,,,,,,,,,,,,,,,,,,
10.5194/esd-6-505-2015,"Gender and climate change in the Indian Himalayas: Global threats, local vulnerabilities, and livelihood diversification at the Nanda Devi Biosphere Reserve",2015.0,,,,,,,,,,,,,,,,,,
10.55188/ijifsd.v17i4.1162,TAKAFUL TA'AWUNI AGRO: STRENGTHENING AGRICULTURAL RESILIENCE THROUGH INCLUSIVE AND SUSTAINABLE PROTECTION AMONG PADDY FARMERS IN MALAYSIA,,,,,,,,,,,,,,,,,,,
10.55214/25768484.v9i2.4406,Model for implementing sustainable agriculture based on good agricultural practice as a strategy for adapting to the impact of climate change,2025.0,,,,,,,,,,,,,,,,,,
10.5539/jsd.v7n5p68,"Managing climate risks using seasonal climate forecast information in Vhembe district in Limpopo province, South Africa",2014.0,,,,,,,,,,,,,,,,,,
10.56369/tsaes.3789,DROUGHT COPING STRATEGIES BY SMALLHOLDER CATTLE FARMERS IN ZIMBABWE,2022.0,,,,,,,,,,,,,,,,,,
10.5751/es-04216-160302,Coping with multiple stresses in rural South Africa.,,,,,,,,,,,,,,,,,,,
10.5751/es-11489-250131,Tracing environmental and livelihood dynamics in a tropical coastal lagoon through the lens of multiple adaptive cycles,,,,,,,,,,,,,,,,,,,
10.5897/ajar2025.17014,Climate change information access among rural women farmers in Ghana.,,,,,,,,,,,,,,,,,,,
10.5897/jaerd2017.0905,"Harmonization of extension messages on climate smart agriculture in Malawi: do we speak with one voice, and to whom?",,,,,,,,,,,,,,,,,,,
