doi,title,year,file_path
10.1002/ldr.842,Local perceptions and regional climate trends on the Central Plateau of Burkina Faso,2008.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1002_ldr.842.pdf
10.1007/978-3-030-45106-6_28,Assessment of Farmers’ Indigenous Technology Adoptions for Climate Change Adaptation in Nigeria,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_978-3-030-45106-6_28.pdf
10.1007/s10457-017-0111-8,"Local tree knowledge can fast-track agroforestry recommendations for coffee smallholders along a climate gradient in Mount Elgon, Uganda",2018.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s10457-017-0111-8.pdf
10.1007/s10584-020-02817-z,The value of climate-resilient seeds for smallholder adaptation in sub-Saharan Africa,2020.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s10584-020-02817-z.pdf
10.1007/s10745-021-00256-7,"Social-Ecological Change on the Mongolian Steppe: Herder Perceptions of Causes, Impacts, and Adaptive Strategies",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s10745-021-00256-7.pdf
10.1007/s43621-025-01534-w,Climate-smart agricultural practices by smallholder cocoa farmers in the semi-deciduous forest agro-ecological zone of Ghana,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1007_s43621-025-01534-w.pdf
10.1016/b978-0-12-812624-0.00004-1,"Adaptation to and Coping Strategies for Climate Change and Variability by Rural Farmers in Kigezi Highlands, Uganda",2018.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_b978-0-12-812624-0.00004-1.pdf
10.1016/j.agee.2008.05.009,"Technical, economical and social actions of farmers to mitigate water deficit in Tamaulipas, Mexico",2008.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agee.2008.05.009.pdf
10.1016/j.agsy.2016.10.001,Smallholder farmers managing climate risk in India: 1. Adapting to a variable climate,2017.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agsy.2016.10.001.pdf
10.1016/j.agsy.2019.102773,The impact of climate change on farming system selection in Ghana,2020.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agsy.2019.102773.pdf
10.1016/j.agsy.2026.104700,Fences that farm: How boundary planting makes agroforestry work for smallholders in hilly farming systems,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agsy.2026.104700.pdf
10.1016/j.agwat.2020.106495,Sustainability of rice-based livelihoods in the upper floodplains of Vietnamese Mekong Delta: Prospects and challenges,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agwat.2020.106495.pdf
10.1016/j.agwat.2025.109478,Social capital and behavioral response to water scarcity: Sustainable agriculture policies pathways for adopting dry direct-seeded rice,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.agwat.2025.109478.pdf
10.1016/j.eap.2014.08.001,"Flood, cropping pattern choice and returns in agriculture: A study of Assam plains, India",2014.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.eap.2014.08.001.pdf
10.1016/j.ecolecon.2018.09.018,Use of Integrated Soil Fertility Management Technologies in Malawi: Impact of Dry Spells Exposure,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ecolecon.2018.09.018.pdf
10.1016/j.ecolecon.2022.107598,The potential impact of fishing in peruvian marine protected areas (MPAs) on artisanal fishery poverty during El Nino events,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ecolecon.2022.107598.pdf
10.1016/j.envdev.2018.11.004,Indigenous people's responses to drought in northwest Bangladesh,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.envdev.2018.11.004.pdf
10.1016/j.envdev.2019.100466,"Climate perceptions, farmers' willingness-to-insure farms and resilience to climate change in Northern region, Ghana",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.envdev.2019.100466.pdf
10.1016/j.envdev.2020.100578,Participatory and rapid vulnerability assessments to support adaptation planning in small-scale fishing communities of the Benguela Current Large Marine Ecosystem,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.envdev.2020.100578.pdf
10.1016/j.envdev.2021.100618,Equity and implications of response strategies on gender relations: Identifying ways of mainstreaming gender into response strategies in Southeast Nigeria,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.envdev.2021.100618.pdf
10.1016/j.fcr.2013.10.014,Evaluation of climate adaptation options for Sudano-Sahelian cropping systems,2014.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.fcr.2013.10.014.pdf
10.1016/j.heliyon.2020.e04694,Character strengths and sustainable technology adoption by smallholder farmers,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.heliyon.2020.e04694.pdf
10.1016/j.heliyon.2020.e05541,"A systems approach toward climate resilient livelihoods: A case study in Thai Nguyen province, Vietnam",2020.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.heliyon.2020.e05541.pdf
10.1016/j.heliyon.2021.e06653,Is investment in Climate-Smart-agricultural practices the option for the future? Cost and benefit analysis evidence from Ghana,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.heliyon.2021.e06653.pdf
10.1016/j.heliyon.2021.e07217,Gender-specific determinants of Zai technology use intensity for improved soil water management in the drylands of Upper Eastern Kenya,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.heliyon.2021.e07217.pdf
10.1016/j.heliyon.2023.e18512,"Salinity hazard drives the alteration of occupation, land use and ecosystem service in the coastal areas: Evidence from the south-western coastal region of Bangladesh",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.heliyon.2023.e18512.pdf
10.1016/j.heliyon.2024.e28003,Rural households' livelihood adaptation strategies in the face of changing climate: A case study from Pakistan,2024.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.heliyon.2024.e28003.pdf
10.1016/j.ijdrr.2015.02.002,Farmers' initiative on adaptation to climate change in the Northern Agro-pastoral Ecotone,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ijdrr.2015.02.002.pdf
10.1016/j.ijdrr.2021.102406,Parametric and non-parametric estimates of willingness to pay for weather index insurance in Malawi,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ijdrr.2021.102406.pdf
10.1016/j.ijdrr.2025.105309,Drought impacts and community adaptation: Perspectives on the 2020-2023 drought in East Africa,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.ijdrr.2025.105309.pdf
10.1016/j.indic.2025.100630,Does social capital influence the intensity of conservation agriculture adoption among smallholder farmers in Malawi?,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.indic.2025.100630.pdf
10.1016/j.jaridenv.2020.104202,Agricultural land use change under climate variability and change: Drivers and impacts,2020.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.jaridenv.2020.104202.pdf
10.1016/j.jebo.2023.10.040,Adaptive investment with land tenure and weather risk: Behavioral evidence from Tanzania,2024.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.jebo.2023.10.040.pdf
10.1016/j.landusepol.2016.04.012,How smallholder farmers adapt to agricultural drought in a changing climate: A case study in southern China,2016.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.landusepol.2016.04.012.pdf
10.1016/j.landusepol.2019.104354,Barriers and requirements to climate change adaptation of mountainous rural communities in developing countries: The case of the eastern Qinghai-Tibetan Plateau of China,2020.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.landusepol.2019.104354.pdf
10.1016/j.landusepol.2020.104858,Understanding the adoption of climate change adaptation strategies among smallholder farmers: Evidence from land reform beneficiaries in South Africa,2020.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.landusepol.2020.104858.pdf
10.1016/j.landusepol.2021.105666,Adoption of climate‐smart agriculture among smallholder farmers: Does farmer entrepreneurship matter?,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.landusepol.2021.105666.pdf
10.1016/j.landusepol.2024.107066,A novel system for boosting land productivity and income of smallholder farmers by intercropping vegetables in waterlogged paddy fields in the coastal zone of the Ganges Delta.,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.landusepol.2024.107066.pdf
10.1016/j.marpol.2024.106342,""" Akili zetu ziwe moja / Let our minds be one"": Emergent strategy for adapting to seafood insecurity in coastal Kenyan fishing communities",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.marpol.2024.106342.pdf
10.1016/j.njas.2018.12.002,Perceived climate risks and adaptation drivers in diverse coffee landscapes of Uganda,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.njas.2018.12.002.pdf
10.1016/j.resenv.2021.100029,Impact of climate adaptation strategies on the net farm revenue of underutilised indigenous vegetables’ (UIVs) production in Southwest Nigeria,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.resenv.2021.100029.pdf
10.1016/j.rsase.2021.100536,"Land Use and Land Cover changes in Lake Bosumtwi Watershed, Ghana (West Africa)",2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.rsase.2021.100536.pdf
10.1016/j.rsma.2023.103030,Climate change adaptation and fishers' subjective well-being in Indonesia: Is there a link?,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.rsma.2023.103030.pdf
10.1016/j.scitotenv.2018.04.429,"A framework to investigate drivers of adaptation decisions in marine fishing: Evidence from urban, semi-urban and rural communities",2018.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.scitotenv.2018.04.429.pdf
10.1016/j.worlddev.2012.08.002,The Impact of Climate Shocks on Seed Purchase Decisions in Malawi: Implications for Climate Change Adaptation,2013.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.worlddev.2012.08.002.pdf
10.1016/j.worlddev.2017.09.002,"Weather Shocks, Coping Strategies, and Consumption Dynamics in Rural Ethiopia",2018.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.worlddev.2017.09.002.pdf
10.1016/j.worlddev.2018.03.017,Women's participation in environmental decision-making: quasi-experimental evidence from northern Kenya.,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.worlddev.2018.03.017.pdf
10.1016/j.worlddev.2023.106467,One for all and all for one: Increasing the adaptive capacity of households and communities through a public work programme,2024.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.worlddev.2023.106467.pdf
10.1016/j.worlddev.2025.107102,Meteorological disasters and labor allocation in rural China: A gendered perspective,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.worlddev.2025.107102.pdf
10.1016/j.wsif.2022.102651,Gender-based differences in access to and use of loans from rural credit programs for flood adaptation in the farming-dependent char communities of Bangladesh,2022.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1016_j.wsif.2022.102651.pdf
10.1017/s0014479716000673,Examining the drivers of agricultural experimentation among smallholder farmers in Malawi,2018.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1017_s0014479716000673.pdf
10.1038/s41598-023-51066-4,Impact of weather and climate advisories on agricultural outcomes in Pakistan,2024.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1038_s41598-023-51066-4.pdf
10.1051/cagri/2018009,Conservation Agriculture to buffer and alleviate the impact of climatic variations in Madagascar: Farmers' perception,2018.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1051_cagri_2018009.pdf
10.1051/cagri/2019019,Côte d'Ivoire's cashew nut boom: A social and ecological transition of the cotton and cocoa systems,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1051_cagri_2019019.pdf
10.1051/ocl/2021004,"Examining the role of institutional support in enhancing smallholder oilseed producers' adaptability to climate change in Limpopo Province, South Africa",2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1051_ocl_2021004.pdf
10.1057/s41599-019-0288-8,Does climate opportunity facilitate smallholder farmers’ adaptive capacity in the Sahel?,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1057_s41599-019-0288-8.pdf
10.1057/s41599-023-02380-9,"Gendered vulnerabilities to climate change and farmers’ adaptation responses in Kwara and Nassarawa States, Nigeria",2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1057_s41599-023-02380-9.pdf
10.1080/17477891.2024.2414816,Disaster risk reduction measures and farmers choices: a discrete choice experiment in Uganda,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1080_17477891.2024.2414816.pdf
10.1108/17568691311299354,The process of social adaptation towards climate change among Malaysian fishermen,2013.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1108_17568691311299354.pdf
10.1186/2193-1801-3-154,"Agro-ecosystem and socio-economic role of homegarden agroforestry in Jabithenan District, North-Western Ethiopia: Implication for climate change adaptation",2014.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1186_2193-1801-3-154.pdf
10.1186/s40066-023-00418-4,Impacts of climate-resilient push–pull technology on farmers’ income in selected counties in Kenya and Tanzania: propensity score matching approach,2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1186_s40066-023-00418-4.pdf
10.1186/s40066-024-00497-x,"Farmers' risk attitude, agricultural technology adoption and impacts in Eastern India",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1186_s40066-024-00497-x.pdf
10.1186/s40066-025-00597-2,Agro-environmental and socioeconomic determinants of crop diversification in salinity-affected coastal production systems of Bangladesh: an empirical analysis,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1186_s40066-025-00597-2.pdf
10.1371/journal.pone.0212994,Understanding disaster resilience in communities affected by recurrent drought in Lesotho and Swaziland—A qualitative study,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1371_journal.pone.0212994.pdf
10.1371/journal.pone.0220433,Climate change adaptation and the role of fuel subsidies: An empirical bio-economic modeling study for an artisanal open-access fishery,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1371_journal.pone.0220433.pdf
10.14719/pst.7103,Crop diversification and water-efficient irrigation: Insights from the TNIAMP initiative in the Cauvery Delta sub-basin,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.14719_pst.7103.pdf
10.1515/opag-2025-0426,"Digital motivation, knowledge, and skills: Pathways to adaptive millennial farmers",2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.1515_opag-2025-0426.pdf
10.15517/am.v30i1.32615,Use of Ecosystem-based Adaptation practices by smallholder coffee farmers in Central America,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.15517_am.v30i1.32615.pdf
10.15740/has/ajes/10.1/90-94,Adoption of climate resilient agricultural technologies and its impact on aliba village under Mokokchung district of Nagaland.,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.15740_has_ajes_10.1_90-94.pdf
10.18006/2025.13(4).531.537,Multidimensional Analysis of Meteorological Information as a Lever for Adoption of Climate-Smart Agricultural Practices: a Case Study in Senegal,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.18006_2025.13_4_.531.537.pdf
10.18488/journal.ajard.2021.114.291.301,Effects of climate-smart agriculture adoption on performance of rice farmers in northeast vietnam,2021.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.18488_journal.ajard.2021.114.291.301.pdf
10.18697/ajfand.86.16815,"RURAL LIVELIHOOD VULNERABILITIES, COPING STRATEGIES AND OUTCOMES: A CASE STUDY IN CENTRAL RIFT VALLEY OF ETHIOPIA; RURAL LIVELIHOOD VULNERABILITIES, COPING STRATEGIES AND OUTCOMES: A CASE STUDY IN CENTRAL RIFT VALLEY OF ETHIOPIA",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.18697_ajfand.86.16815.pdf
10.18697/ajfand.87.18355,Adoption of climate-smart droughttego® varieties in Kenya,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.18697_ajfand.87.18355.pdf
10.30852/sb.2022.1757,"Rainwater harvesting for enhancing upland agriculture: Lessons and experiences in selected upland farming communities in Albay Province, Philippines",2022.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.30852_sb.2022.1757.pdf
10.30852/sb.2023.2224,Farmers’ perceptions on the impact of climate change: Case study of the agricultural sector of Cambodia,2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.30852_sb.2023.2224.pdf
10.30955/gnj.004859,"Assessment of observed temperature trend patterns of Bhubaneswar city, India with special prominence on future projections using SimCLIM climate model and farmer’s perception",2024.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.30955_gnj.004859.pdf
10.3389/fmars.2021.600150,Scenario-Based Approaches to Change Management in Fisheries Can Address Challenges With Scale and Support the Implementation of an Ecosystem Approach to Fisheries Management,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fmars.2021.600150.pdf
10.3389/frwa.2025.1597293,"Socio-hydrology and sustainable tank management: empirical case from a Mailam tank cascade, Tamil Nadu, India",2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_frwa.2025.1597293.pdf
10.3389/fsufs.2019.00037,Co-designing Climate-Smart Farming Systems With Local Stakeholders: A Methodological Framework for Achieving Large-Scale Change,2019.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fsufs.2019.00037.pdf
10.3389/fsufs.2022.1067649,Livelihood adaptive capacities and adaptation strategies of relocated households in rural China,2022.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fsufs.2022.1067649.pdf
10.3389/fsufs.2023.1039562,"Indigenous farmers’ perception of climate vulnerability, barriers and factors influencing farmers adaptation intention: evidence from mountainous area of Vietnam",2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fsufs.2023.1039562.pdf
10.3389/fsufs.2023.1139631,Asymmetries in climate change and livestock productivity: non-linear evidence from autoregressive distribution lag mode,2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fsufs.2023.1139631.pdf
10.3389/fsufs.2025.1682042,Adaptive household strategies for sustaining crop production under conditions of water scarcity in semi-arid South Africa,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fsufs.2025.1682042.pdf
10.3389/fsufs.2026.1695946,Farm-level diagnosis and adaptation strategies for sustainable beef production in Tunisia under climate change,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fsufs.2026.1695946.pdf
10.3389/fvets.2025.1690335,Thriving against the odds through positive deviant behavior: technology adoption and entrepreneurship among dairy farmers in Addis Ababa and Oromia in Ethiopia,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.3389_fvets.2025.1690335.pdf
10.37394/232015.2023.19.102,"Perceptions on Climate Change and Satisfaction on Adaptive Measures: Farmer Field Evidence from Punjab, Pakistan",2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.37394_232015.2023.19.102.pdf
10.37425/eajsti.v4i3.672,"Economics of Rice Irrigation Technologies in Kilombero Sub-Basin: A Case of Farming Households from Kilombero in Morogoro, Tanzania",2023.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.37425_eajsti.v4i3.672.pdf
10.37773/ees.v7i2.1060,Farmers’ Perceptions of Climate Change and their Adaptation in a semi-Arid Region in India,2024.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.37773_ees.v7i2.1060.pdf
10.4102/td.v17i1.744,"A gendered approach to drought-coping mechanisms: A case of the Lubombo region, Eswatini",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.4102_td.v17i1.744.pdf
10.4314/agrosh.v19i1.5,"Empirical analysis of adaptation strategies used in mitigating flood related losses by rice farmers in Kwara State, Nigeria.",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.4314_agrosh.v19i1.5.pdf
10.4314/jae.v29i3.12,"Utilisation of extension services for climate change adaptation by male and female arable crop farmers in Bayelsa State, Nigeria.",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.4314_jae.v29i3.12.pdf
10.5194/esd-6-505-2015,"Gender and climate change in the Indian Himalayas: Global threats, local vulnerabilities, and livelihood diversification at the Nanda Devi Biosphere Reserve",2015.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5194_esd-6-505-2015.pdf
10.55188/ijifsd.v17i4.1162,TAKAFUL TA'AWUNI AGRO: STRENGTHENING AGRICULTURAL RESILIENCE THROUGH INCLUSIVE AND SUSTAINABLE PROTECTION AMONG PADDY FARMERS IN MALAYSIA,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.55188_ijifsd.v17i4.1162.pdf
10.55214/25768484.v9i2.4406,Model for implementing sustainable agriculture based on good agricultural practice as a strategy for adapting to the impact of climate change,2025.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.55214_25768484.v9i2.4406.pdf
10.5539/jsd.v7n5p68,"Managing climate risks using seasonal climate forecast information in Vhembe district in Limpopo province, South Africa",2014.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5539_jsd.v7n5p68.pdf
10.56369/tsaes.3789,DROUGHT COPING STRATEGIES BY SMALLHOLDER CATTLE FARMERS IN ZIMBABWE,2022.0,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.56369_tsaes.3789.pdf
10.5751/es-04216-160302,Coping with multiple stresses in rural South Africa.,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5751_es-04216-160302.pdf
10.5751/es-11489-250131,Tracing environmental and livelihood dynamics in a tropical coastal lagoon through the lens of multiple adaptive cycles,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5751_es-11489-250131.pdf
10.5897/ajar2025.17014,Climate change information access among rural women farmers in Ghana.,,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5897_ajar2025.17014.pdf
10.5897/jaerd2017.0905,"Harmonization of extension messages on climate smart agriculture in Malawi: do we speak with one voice, and to whom?",,/Users/zarrar/projects/ilri-climate-adaptation-effectiveness/scripts/outputs/step13/fulltext/doi_10.5897_jaerd2017.0905.pdf
