doi,doi_clean,record_key,citation_raw,title_best,title_benchmark,title_fetched,type,identified_via,abstract,landing_url,fetch_status,source,status_code,error,fetched_utc,last_attempt_utc,fail_count,year,year_source,final_decision,notes,hard_filter_status,run_signature,timestamp_utc,1_population_decision,1_population_quote,1_population_verified,2_concept_decision,2_concept_quote,2_concept_verified,3_context_decision,3_context_quote,3_context_verified,4_methodology_decision,4_methodology_quote,4_methodology_verified,5_geography_decision,5_geography_quote,5_geography_verified,title,match_title,match_doi,simple_status,restored_type,source_type,title_scopus,publicationName,year_scopus,doi_scopus,citation_raw_scopus,author_names,in_scopus_retrieval,eligible_baseline,fetched_authors,fetched_journal,fetched_year,citation
10.1016/j.ijdrr.2018.01.032,10.1016/j.ijdrr.2018.01.032,10.1016/j.ijdrr.2018.01.032,"Pak-Uthai, S., & Faysse, N. (2018). The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032",,"The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032",The risk of second-best adaptive measures: Farmers facing drought in Thailand,Peer,Stakeholder - Pankaj Koirala,"The measures taken by farmers to adapt to climate events are generally characterized in terms of the required resources and their effects, and based on these effects, measures are typified as leading to short-term or long-term adaptation, or to maladaptation. This paper examines the short-term effects of adaptive measures taken by farmers in Suphanburi Province, Thailand, to deal with the major hydrological drought in 2015 and 2016. The farmers implemented diverse measures aimed at increasing access to water, reducing their need for irrigation water or obtaining a non-agricultural income. Less than one third of interviewed farmers were able to implement first-best adaptive measures, which involved little risk as farmers had secure access to alternative sources of water and to markets. The other farmers were unable to implement these measures. Half of the farmers opted for second-best measures, which involved risky attempts to increase access to water or to shift to other productions. Farmers also took other second-best adaptive measures that involved much less risk, such as non-agricultural activities, but that only provided a limited income. Therefore, based on their short-term effects, most adaptive actions could not be typified in terms of increasing or decreasing farmers’ vulnerability to drought, but far better in terms of the risks they involved.",,ok,elsevier_api,200,,2026-01-22T20:05:56Z,2026-01-22T20:05:56Z,0,2018,parsed_from_citation,include,,pass,,,yes,farmers to adapt to climate events,True,yes,adaptive measures taken by farmers,True,yes,hydrological drought in 2015 and 2016,True,yes,interviewed farmers were able to implement first-best adaptive measures,True,yes,"Suphanburi Province, Thailand",True,,,101016jijdrr201801032,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Pak-Uthai, S., Faysse, N.",International Journal of Disaster Risk Reduction,2018,"Pak-Uthai, S., & Faysse, N. (2018). The risk of second-best adaptive measures: Farmers facing drought in Thailand. International journal of disaster risk reduction, 28, 711–719. doi:10.1016/j.ijdrr.2018.01.032"
10.1186/s40066-017-0100-1,10.1186/s40066-017-0100-1,10.1186/s40066-017-0100-1,"Belay, A., Recha, J., Woldeamanuel, T., & Morton, J. (2017). Smallholder farmers' adaptation to climate change and determinants of their adaptation decisions in the central Rift Valley of Ethiopia. Agriculture and food security, 6, 24.",,"Smallholder farmers' adaptation to climate change and determinants of their adaptation decisions in the central Rift Valley of Ethiopia. Agriculture and food security, 6, 24.",Smallholder farmers’ adaptation to climate change and determinants of their adaptation decisions in the Central Rift Valley of Ethiopia,Peer,Stakeholder - Pankaj Koirala,"The agricultural sector remains the main source of livelihoods for rural communities in Ethiopia, but faces the challenge of changing climate. This study investigated how smallholder farmers perceive climate change, what adaptation strategies they practice, and factors that influence their adaptation decisions. Both primary and secondary data were used for the study, and a multinomial logit model was employed to identify the factors that shape smallholder farmers’ adaptation strategies. The results show that 90% of farmers have already perceived climate variability, and 85% made attempts to adapt using practices like crop diversification, planting date adjustment, soil and water conservation and management, increasing the intensity of input use, integrating crop with livestock, and tree planting. The econometric model indicated that education, family size, gender, age, livestock ownership, farming experience, frequency of contact with extension agents, farm size, access to market, access to climate information and income were the key factors determining farmers’ choice of adaptation practice. In the Central Rift Valley of Ethiopia, climate change is a pressing problem, which is beyond the capacity of smallholders to respond to autonomously. Farmers’ capacity to choose effective adaptation options is influenced by household demography, as well as positively by farm size, income, access to markets, access to climate information and extension, and livestock production. This implies the need to support the indigenous adaptation strategies of the smallholder farmers with a wide range of institutional, policy, and technology support; some of it targeted on smaller, poorer or female-headed households. Moreover, creating opportunities for non-farm income sources is important as this helps farmers to engage in those activities that are less sensitive to climate change. Furthermore, providing climate change information, extension services, and creating access to markets are crucial.",,ok,semantic_scholar,200,,2026-01-22T20:04:49Z,2026-01-22T20:04:49Z,0,2017,parsed_from_citation,include,,pass,,,yes,smallholder farmers,True,yes,adaptation strategies they practice,True,yes,"climate variability, and 85% made attempts to adapt using practices like crop diversification",True,yes,a multinomial logit model was employed,True,yes,Central Rift Valley of Ethiopia,True,,,101186s4006601701001,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Belay, A., Recha, J., Woldeamanuel, T. et al.",Agriculture &amp; Food Security,2017,"Belay, A., Recha, J., Woldeamanuel, T., & Morton, J. (2017). Smallholder farmers' adaptation to climate change and determinants of their adaptation decisions in the central Rift Valley of Ethiopia. Agriculture and food security, 6, 24."
10.1016/j.gloenvcha.2011.11.012,10.1016/j.gloenvcha.2011.11.012,10.1016/j.gloenvcha.2011.11.012,"Below, T., Mutabazi, K., Kirschke, D., Franke, C., Sieber, S., Siebert, R., & Tscherning, K. (2012). Can farmers’ adaptation to climate change be explained by socio-economic household-level variables? Global environmental change, 22, 223–235.",,"Can farmers’ adaptation to climate change be explained by socio-economic household-level variables? Global environmental change, 22, 223–235.",Can farmers’ adaptation to climate change be explained by socio-economic household-level variables?,Peer,Stakeholder - Pankaj Koirala,"A better understanding of processes that shape farmers’ adaptation to climate change is critical to identify vulnerable entities and to develop well-targeted adaptation policies. However, it is currently poorly understood what determines farmers’ adaptation and how to measure it. In this study, we develop an activity-based adaptation index (AAI) and explore the relationship between socioeconomic variables and farmers’ adaptation behavior by means of an explanatory factor analysis and a multiple linear regression model using latent variables. The model was tested in six villages situated in two administrative wards in the Morogoro region of Tanzania. The Mlali ward represents a system of relatively high agricultural potential, whereas the Gairo ward represents a system of low agricultural potential. A household survey, a rapid rural appraisal and, a stakeholder workshop were used for data collection. The data were analyzed using factor analysis, multiple linear regression, descriptive statistical methods and qualitative content analysis. The empirical results are discussed in the context of theoretical concepts of adaptation and the sustainable livelihood approach. We found that public investment in rural infrastructure, in the availability and technically efficient use of inputs, in a good education system that provides equal chances for women, and in the strengthening of social capital, agricultural extension and, microcredit services are the best means of improving the adaptation of the farmers from the six villages in Gairo and Mlali. We conclude that the newly developed AAI is a simple but promising way to capture the complexity of adaptation processes that addresses a number of shortcomings of previous index studies.",,ok,elsevier_api,200,,2026-01-22T20:04:50Z,2026-01-22T20:04:50Z,0,2012,parsed_from_citation,include,,pass,,,yes,farmers’ adaptation to climate change,True,yes,farmers’ adaptation to climate change,True,yes,"system of relatively high agricultural potential, whereas the Gairo ward represents a system of low agricultural potential.",True,yes,"A household survey, a rapid rural appraisal and, a stakeholder workshop were used for data collection",True,yes,Morogoro region of Tanzania,True,,,101016jgloenvcha201111012,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Below, T., Mutabazi, K., Kirschke, D. et al.",Global Environmental Change,2012,"Below, T., Mutabazi, K., Kirschke, D., Franke, C., Sieber, S., Siebert, R., & Tscherning, K. (2012). Can farmers’ adaptation to climate change be explained by socio-economic household-level variables? Global environmental change, 22, 223–235."
10.1007/s10668-023-04301-x,10.1007/s10668-023-04301-x,10.1007/s10668-023-04301-x,"Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x",,"Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x",,Peer,Stakeholder - Pankaj Koirala,"Climate change impacts, including rising temperatures, erratic changes in the frequency and quantity of rainfall, and the prevalence of extreme weather phenomena, pose threats to rice cultivation. The primary objective of this study is to conduct an economic assessment of the effect of adaptation strategies on the agricultural performance of rice farmers. A total of 260 rice farmers from Nong Cong district were selected as the sample for the study. Collected data were analyzed using propensity scores matching (PSM) and the analysis of variance (ANOVA) technique, using Tukey's method. PSM was utilized to compare farmers who adapted and those who did not, while the ANOVA test was applied to examine disparities in the impacts, resulting from the use of various adaptive measures. The study's findings demonstrated that changing rice varieties led to the most substantial increment in profitability (a 73% surge in profits) while adjusting the seasonal timetable was the least costly measure. Among the plausible combinations of adaptive measures, farmers achieved the highest additional yield by utilizing increased fertilizers and pesticides (yielding a 26% increase). However, the highest increase in profitability was observed by adjusting the seasonal calendar and modifying rice varieties (yielding a 124.2% surge in profits). Significant factors influencing farmers' choice of adaptive measures include the extent of formal education, farming experience, agricultural income, participation in training programs, membership in agricultural associations, and access to 7–10-day weather forecasts. The study recommends that farmers cultivate high-yielding rice varieties resistant to extreme weather patterns. Furthermore, extension organizations are advised to intensify their efforts in conducting awareness campaigns focused on climate change, disseminating weather forecast information at the district level, and providing agricultural extension services coupled with training in advanced agricultural techniques.",https://doi.org/10.1007/s10668-023-04301-x,ok,landing_meta,200,,2026-01-22T20:05:50Z,2026-01-22T20:05:50Z,0,2023,parsed_from_citation,include,,pass,,,yes,A total of 260 rice farmers from Nong Cong district were selected as the sample for the study.,True,yes,The primary objective of this study is to conduct an economic assessment of the effect of adaptation strategies on the agricultural performance of rice farmers.,True,yes,"Climate change impacts, including rising temperatures, erratic changes in the frequency and quantity of rainfall, and the prevalence of extreme weather phenomena, pose threats to rice cultivation.",True,yes,Collected data were analyzed using propensity scores matching (PSM) and the analysis of variance (ANOVA) technique,True,yes,A total of 260 rice farmers from Nong Cong district were selected as the sample for the study.,True,,,101007s1066802304301x,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Nam, L., Van Song, N., Quilloy, A. et al.","Environment, Development and Sustainability",2023,"Nam, L. P., Van Song, N., Quilloy, A. J., Rañola, R. F., Camacho, J. V., Camacho, L. D., & Eluriagac, L. M. (2023, December). Assessment of impacts of adaptation measures on rice farm economic performance in response to climate change: Case study in Vietnam. Environment, Development and Sustainability, 26, 32479–32507. doi:10.1007/s10668-023-04301-x"
10.1016/j.jenvman.2019.109456,10.1016/j.jenvman.2019.109456,10.1016/j.jenvman.2019.109456,"Azadi, Y., Yazdanpanah, M., & Mahmoudi, H. (2019). Understanding smallholder farmers' adaptation behaviors through climate change beliefs, risk perception, trust, and psychological distance: Evidence from wheat growers in Iran. Journal of environmental management, 250, 109456.",,"Understanding smallholder farmers' adaptation behaviors through climate change beliefs, risk perception, trust, and psychological distance: Evidence from wheat growers in Iran. Journal of environmental management, 250, 109456.","Understanding smallholder farmers’ adaptation behaviors through climate change beliefs, risk perception, trust, and psychological distance: Evidence from wheat growers in Iran",Peer,Stakeholder - Pankaj Koirala,"Climate change (CC) poses severe threats to the agriculture sector in developing countries. ‏Increasing empirical evidence has confirmed that adaptation strategies to CC at the farm level can significantly reduce the negative impacts of CC and minimize vulnerability. Consequently, understanding adaptation to CC has become a major concern for farmers to facilitate adaptation actions and assist them in improving their adaptive capacity. In this context, this study investigated the most prominent psychological drivers of, and impediments to, adaptation responses. To this end, 350 farmers from Kermanshah district in western of Iran were selected as our sample through a multi-stage, stratified, random sampling method. Structural equation modeling found a complex relationship between overall CC belief, risk perception, psychological distance, trust and risk salience, and farmers' adaptation behaviors. Climate risk perception, trust, and psychological distance were much more effective in driving farmers’ adaptation behaviors. The findings yield recommendations for public policy and risk communication that could encourage adaptation behaviors among Iranian farmers.",,ok,elsevier_api,200,,2026-01-22T20:04:46Z,2026-01-22T20:04:46Z,0,2019,parsed_from_citation,include,,pass,,,yes,350 farmers from Kermanshah district in western of Iran were selected as our sample,True,yes,Understanding adaptation to CC has become a major concern for farmers,True,yes,Climate change (CC) poses severe threats to the agriculture sector in developing countries,True,yes,"Structural equation modeling found a complex relationship between overall CC belief, risk perception, psychological distance, trust and risk salience, and farmers' adaptation behaviors",True,yes,350 farmers from Kermanshah district in western of Iran were selected as our sample,True,,,101016jjenvman2019109456,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Azadi, Y., Yazdanpanah, M., Mahmoudi, H.",Journal of Environmental Management,2019,"Azadi, Y., Yazdanpanah, M., & Mahmoudi, H. (2019). Understanding smallholder farmers' adaptation behaviors through climate change beliefs, risk perception, trust, and psychological distance: Evidence from wheat growers in Iran. Journal of environmental management, 250, 109456."
10.1016/j.landusepol.2018.08.018,10.1016/j.landusepol.2018.08.018,10.1016/j.landusepol.2018.08.018,"Fahad, S., & Wang, J. (2018). Farmers' risk perception, vulnerability, and adaptation to climate change in rural Pakistan. Land use policy, 79, 301–309. doi:10.1016/j.landusepol.2018.08.018",,"Farmers' risk perception, vulnerability, and adaptation to climate change in rural Pakistan. Land use policy, 79, 301–309. doi:10.1016/j.landusepol.2018.08.018","Farmers’ risk perception, vulnerability, and adaptation to climate change in rural Pakistan",Peer,Stakeholder - Pankaj Koirala,"Pakistan is the world’s most susceptible country to extreme climatic events, such as floods and droughts. This study aims to investigate the risks related to climate variability and the adaptation measures utilized by farm households in their farms to cope with the adverse shocks of climatic disasters. A dataset of 600 respondents was collected using structured questionnaire from four districts namely Charsadda, Mardan, Nowshera and Peshawar of Khyber Pakhtunkhwa province of Pakistan. Findings of the research showed that soil fertility loss, water scarcity, changes in crop yields and crop diseases were the main determinants of climate variability. Further study participants were also utilizing several adaptation techniques such as change in crop type and variety, change fertilizer, seed quality, pesticide, plant shade trees; water storage and farm diversification. Results of our study further showed that in the study area, study participants were facing various constraints in adoption of certain adaptation measures to deal with climate variability, such as shortage of labor, insecure land tenure system, lack of market access, poverty, land of governmental support, lack of access to assets, lack of water sources, lack of credit sources and lack of knowledge and information were the main constraints faced by the farm households. Findings of this research provide useful insights to the responsible authorities for policy implementation. Our study further suggests that the government should provide proper support to the farmers in the shape of access to farm inputs, access to information and extension services on climate variability and adaptation.",,ok,elsevier_api,200,,2026-01-22T20:05:04Z,2026-01-22T20:05:04Z,0,2018,parsed_from_citation,include,,pass,,,yes,farm households,True,yes,adaptation measures,True,yes,climate variability and the adaptation measures utilized by farm households,True,yes,A dataset of 600 respondents was collected using structured questionnaire,True,yes,Khyber Pakhtunkhwa province of Pakistan,True,,,101016jlandusepol201808018,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Fahad, S., Wang, J.",Land Use Policy,2018,"Fahad, S., & Wang, J. (2018). Farmers' risk perception, vulnerability, and adaptation to climate change in rural Pakistan. Land use policy, 79, 301–309. doi:10.1016/j.landusepol.2018.08.018"
10.1186/s40066-017-0144-2,10.1186/s40066-017-0144-2,10.1186/s40066-017-0144-2,"Amare, A., & Simane, B. (2017). Determinants of smallholder farmers' decision to adopt adaptation options to climate change and variability in the Muger sub basin of the upper Blue Nile basin of Ethiopia. Agriculture and food security, 6, 1–20.",,"Determinants of smallholder farmers' decision to adopt adaptation options to climate change and variability in the Muger sub basin of the upper Blue Nile basin of Ethiopia. Agriculture and food security, 6, 1–20.",Determinants of smallholder farmers’ decision to adopt adaptation options to climate change and variability in the Muger Sub basin of the Upper Blue Nile basin of Ethiopia,Peer,Stakeholder - Pankaj Koirala,"Smallholder farmers’ decisions to adopt adaptation options in response to climate change and variability are influenced by socioeconomic, institutional, and environmental factors, indicating that decision patterns can be very specific to a given locality. The prime objective of this research is to identify factors affecting smallholder farmers’ decisions to adopt adaptation options to climate change and variability in the Muger River sub-basin of the Blue Nile basin of Ethiopia. Both quantitative and qualitative data were collected using a semi-structured questionnaire, focused group discussions, and key informant interviews from 442 sampled households. Frequency, mean, Chi-square test, and one-way ANOVA were used for analysis. Furthermore, a multinomial logit model was employed to analyze the data. Results signified that small-scale irrigation, agronomic practices, livelihood diversification, and soil and water conservation measures are the dominant adaptation options that smallholder farmers used to limit the negative impact of climate change and variability in the study area. The results further revealed that adoption of small-scale irrigation as an adaptation to climate change and variability is significantly and positively influenced by access to credit, social capital, and the educational status of household heads. Greater distance to marketplace and size of farmland negatively affected the use of agronomic practices, whereas crop failure experience and access to early warning systems have a positive influence. The results also point out that adoption of soil and water conservation measures are positively affected by exposure to early warning systems, greater distance to the marketplace, and larger size of cultivated land. It is also noted that livelihood diversification is negatively influenced by socioeconomic factors such as education, the gender of the household head, and livestock ownership. Overall, the results suggested that improved policies aimed at increasing the adoption of adaptation options to offset the impact of climate change and variability should focus on: creating effective microfinance institutions and effective early warning systems, increasing farmer awareness, improving infrastructure, and encouraging farmers’ membership to many social groups. The results further suggested that agroecological and gender-based research should be promoted and increased for a more holistic understanding of farmer adaptation options.",,ok,semantic_scholar,200,,2026-01-22T20:04:38Z,2026-01-22T20:04:38Z,0,2017,parsed_from_citation,include,,pass,,,yes,smallholder farmers’ decisions to adopt adaptation options,True,yes,adopt adaptation options to climate change and variability,True,yes,negative impact of climate change and variability in the study area,True,yes,"quantitative and qualitative data were collected using a semi-structured questionnaire, focused group discussions, and key informant interviews",True,yes,Muger River sub-basin of the Blue Nile basin of Ethiopia,True,,,101186s4006601701442,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Amare, A., Simane, B.",Agriculture &amp; Food Security,2017,"Amare, A., & Simane, B. (2017). Determinants of smallholder farmers' decision to adopt adaptation options to climate change and variability in the Muger sub basin of the upper Blue Nile basin of Ethiopia. Agriculture and food security, 6, 1–20."
10.1016/j.landusepol.2017.10.023,10.1016/j.landusepol.2017.10.023,10.1016/j.landusepol.2017.10.023,"Trinh, T., Ranola, R., Camacho, L., & Simelton, E. (2018). Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231.",,"Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231.",Determinants of farmers’ adaptation to climate change in agricultural production in the central region of Vietnam,Peer,Stakeholder - Pankaj Koirala,"This paper discusses the likely changes in farm cultural practices that farmers would adopt to minimize agricultural production losses as a response to the increasing occurrence of extreme weather conditions due to climate change in the Central Region of Viet Nam. Using binary logit model and multivariate probit model, this paper examined different factors influencing farmers decision on adaptation to climate change in their agricultural production. Training attendance, farm size, damage level, educational level, farming experience, access to credit, and gender were the factors that influenced significantly the probability that farmers would adapt to climate change. Of these factors, attendance in climate change training and farm size were the most important factors affecting the farmers decision on adaptation to climate change, while labor availability and membership in local organizations were not. Three policy recommendations were proposed to enhance small-scale farmers adaptive capacity to climate change in the region. These include: i). broadening of training courses on climate change; ii). institute policies that would promote consolidation of farmlands; and, iii). integrate concepts of climate change and climate change adaptation into the operation of the local organizations.",,ok,elsevier_api,200,,2026-01-22T20:06:23Z,2026-01-22T20:06:23Z,0,2018,parsed_from_citation,include,,pass,,,yes,small-scale farmers,True,yes,adaptation to climate change,True,yes,extreme weather conditions due to climate change,True,yes,binary logit model and multivariate probit model,True,yes,Central Region of Viet Nam,True,,,101016jlandusepol201710023,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Trinh, T., Rañola, R., Camacho, L. et al.",Land Use Policy,2018,"Trinh, T., Ranola, R., Camacho, L., & Simelton, E. (2018). Determinants of farmers' adaptation to climate change in agricultural production in the central region of Vietnam. Land use policy, 70, 224–231."
10.1007/s10661-019-7651-5,10.1007/s10661-019-7651-5,10.1007/s10661-019-7651-5,"Ullah, W., Nafees, M., Khurshid, M., & Nihei, T. (2019). Assessing farmers' perspectives on climate change for effective farm-level adaptation measures in Khyber Pakhtunkhwa, Pakistan. Environmental monitoring and assessment, 191, 547.",,"Assessing farmers' perspectives on climate change for effective farm-level adaptation measures in Khyber Pakhtunkhwa, Pakistan. Environmental monitoring and assessment, 191, 547.",,Peer,Stakeholder - Pankaj Koirala,"Agriculture is considered as the backbone of the economy of Pakistan. However, current changes in climate have been adversely affecting agricultural productivity. In this paper, perceived impacts of climate change on agriculture and adaptation towards it have been studied in Charsadda district (lowlands) of Khyber Pakhtunkhwa province of Pakistan through extensive field surveys, involving 116 farm households. Results have revealed that climate change factors including fluctuating temperature, evidence of yearly long droughts, and a steady shift in rainfall patterns have pressured the agriculture sector and livelihoods of the local peasants. The staggering floods of 2010 and 2011 in Pakistan have evidenced severe climatic changes in Pakistan. These countrywide floods have washed fertile soil in the study area that has directly contributed to losses in agricultural yield and increased vector-borne diseases in crops. The local farmers have commonly deployed adaptive measure such as crops diversification, changing fertilizer, and planting shaded trees to minimize the impacts of changes in climate. However, these adjustments measures are perceived as not appropriate for improving farm yield. Therefore, the study suggests that improved understanding of the climate change impacts and knowledge on adapting adequately will lead to no-regret adaptation. It will also help protecting farmer’s lives and livelihoods and will boost their resilience towards changing climatic conditions.",https://doi.org/10.1007/s10661-019-7651-5,ok,landing_meta,200,,2026-01-22T20:06:27Z,2026-01-22T20:06:27Z,0,2019,parsed_from_citation,include,,pass,,,yes,"extensive field surveys, involving 116 farm households",True,yes,adaptation towards it have been studied,True,yes,"fluctuating temperature, evidence of yearly long droughts, and a steady shift in rainfall patterns",True,yes,"extensive field surveys, involving 116 farm households",True,yes,Charsadda district (lowlands) of Khyber Pakhtunkhwa province of Pakistan,True,,,101007s1066101976515,Passed,Unknown,Peer Reviewed,,,,,,,True,True,"Ullah, W., Nafees, M., Khurshid, M. et al.",Environmental Monitoring and Assessment,2019,"Ullah, W., Nafees, M., Khurshid, M., & Nihei, T. (2019). Assessing farmers' perspectives on climate change for effective farm-level adaptation measures in Khyber Pakhtunkhwa, Pakistan. Environmental monitoring and assessment, 191, 547."
