Id,Item,Jennifer Cisse,Caroline Staub,LLM
125898724,"‘From the sky to the ground’: fishers' knowledge, landscape analysis and hydrological data indicate long-term environmental changes in Amazonian clear water rivers",EXCLUDE,EXCLUDE,Exclude
125898421,"“Are they aware, and why?” Bayesian analysis of predictors of smallholder farmers' awareness of climate change and its risks to agriculture",EXCLUDE,EXCLUDE,Exclude
125903902,An ordered logistic regression analysis of the factors associated with smallholder farmers’ decision to fully embrace conservation agriculture in Zimbabwe,INCLUDE,INCLUDE,Include
125894445,Analysis of indirect economic loss of meteorological disasters among the Belt and Road typical countries based on the MRIO model: Taking the Chinas typhoon Rammasun in 2014 as an example,EXCLUDE,EXCLUDE,Exclude
125893112,Analysis of potential yields and yield gaps of rainfed soybean in India using CROPGRO-Soybean model,EXCLUDE,EXCLUDE,Exclude
125902161,Assessment of agricultural drought severity using multi-temporal remote sensing data in Lorestan region,EXCLUDE,EXCLUDE,Exclude
125900629,Assessment of Variation in Marginal Productivity Value of Water in Paddy Farming Systems in Times of Water Stress,EXCLUDE,EXCLUDE,Exclude
125899461,"Association of farmers’ wellbeing in a drought-prone area, Thailand: applications of SPI and VCI indices",EXCLUDE,EXCLUDE,Exclude
125900496,"Author Correction: Climate vulnerability assessment of key fishery resources in the Northern Humboldt Current System (Scientific Reports, (2022), 12, 1, (4800), 10.1038/s41598-022-08818-5)",EXCLUDE,EXCLUDE,Exclude
125897134,Barriers to Effective Climate Change Management in Zimbabwe’s Rural Communities,EXCLUDE,EXCLUDE,Exclude
125894578,"Barriers to Implementing Irrigation and Drainage Policies in An Giang Province, Mekong Delta, Vietnam",EXCLUDE,INCLUDE,Include
125893099,"Capripoxviruses: An emerging worldwide threat to sheep, goats and cattle",EXCLUDE,EXCLUDE,Exclude
125891985,Climate change adaptation and mitigation options for the livestock sector in the near east and North Africa,EXCLUDE,INCLUDE,Exclude
125905823,Climate Change Adaptation Strategy of the Coastal Indigenous Community of Bangladesh,INCLUDE,INCLUDE,Include
125898434,"Climate change effects on agricultural productivity in the smallholder farming systems of the Eastern Cape Province, South Africa",INCLUDE,INCLUDE,Exclude
125897171,"Climate change, marine resources and a small Chilean community: making the connections",EXCLUDE,EXCLUDE,Exclude
125903027,Climate on the Edge: Impacts and Adaptation in Ethiopia’s Agriculture,EXCLUDE,EXCLUDE,Exclude
125905259,Climate-Induced conflicts between rural farmers and cattle herders: Implications on sustainable agriculture and food security in Nigeria,EXCLUDE,EXCLUDE,Exclude
125905048,Coastal fisheries and community-based support systems in post disaster contexts,EXCLUDE,EXCLUDE,Exclude
125895742,Combined Assessment of Climate Change and Socio-Economic Development as Drivers of Freshwater Availability in the South of Portugal,EXCLUDE,EXCLUDE,Exclude
125895053,"Community Perception on Adverse Effects of Natural Hazards on Livelihood and Enhancing Livelihood Resiliency: A Case Study at Patharghata Upazila, Barguna",EXCLUDE,EXCLUDE,Include
125892168,Community visioning in a transfrontier conservation area in Southern Africa paves the way towards landscapes combining agricultural production and biodiversity conservation,EXCLUDE,EXCLUDE,Exclude
125897992,"Community-based adaptation to climate change in villages of Western Province, Solomon Islands",INCLUDE,INCLUDE,Include
125898240,"COMPARING CLIMATE ADAPTATION STRATEGIES ON TECHNICAL EFFICIENCY OF CASSAVA PRODUCTION IN SOUTHWEST, NIGERIA",INCLUDE,INCLUDE,Include
125893630,Conservation agriculture based sustainable intensification: Increasing yields and water productivity for smallholders of the Eastern Gangetic Plains,EXCLUDE,INCLUDE,Include
125894139,Côte d'Ivoire's cashew nut boom: A social and ecological transition of the cotton and cocoa systems,INCLUDE,INCLUDE,Include
125896148,Crop Diversity Management: Sereer Smallholders' Response to Climatic Variability in Senegal,INCLUDE,INCLUDE,Include
125905334,Determinants of the economy in multistrata agroforestry in Ethiopia,EXCLUDE,EXCLUDE,Exclude
125895843,Distribution of the toxic dinoflagellate Stoeckeria algicida in Liaodong Bay,EXCLUDE,EXCLUDE,Exclude
125891342,Drought stress variability in ancient Near Eastern agricultural systems evidenced by δ13C in barley grain,EXCLUDE,EXCLUDE,Exclude
125899287,"Dynamics and Drivers of Land Use and Land Cover Change in the Upper Awash Basin, Central Rift Valley of Ethiopia",EXCLUDE,EXCLUDE,Exclude
125895085,Early forecasting corn yield using ground truth data and vegetation health indices in bulgaria,EXCLUDE,EXCLUDE,Exclude
125898358,"Economic benefits of ENSO information in crop management decisions: case study of rice farming in West Java, Indonesia",EXCLUDE,INCLUDE,Include
125903970,"Economywide impact of climate shock on agricultural sector, women employment and poverty: a Burkina Faso case study",EXCLUDE,EXCLUDE,Exclude
125895962,Ecosystem service modelling to support nature-based flood water management in the vietnamese mekong river delta,EXCLUDE,EXCLUDE,Exclude
125903379,Effect of Rice Input Variables and Climate Change Factors on Total Factor Productivity of Rice in Nigeria,EXCLUDE,EXCLUDE,Exclude
125890384,Environmental change in the Western Iberia Upwelling Ecosystem since the preindustrial period revealed by dinoflagellate cyst records,EXCLUDE,EXCLUDE,Exclude
125896177,"Evaluating socio-economic and environmental factors influencing farm-level water scarcity in Punjab, Pakistan*",INCLUDE,INCLUDE,Include
125902940,Evaluating the Effectiveness of Weather Index Insurance: Empirical Assessment Framework and Policy Recommendations for Fair Premium Subsidies,EXCLUDE,EXCLUDE,Exclude
125894488,Evaluating the effects of climate change in the southern Benguela upwelling system using the Atlantis modelling framework,EXCLUDE,EXCLUDE,Exclude
125894648,Evaluation of small-scale fishers' perceptions on climate change and their coping strategies: Insights from lake Malawi,INCLUDE,INCLUDE,Include
125900819,Exploring the Impact of Farmer Field Schools on the Adoption of Sustainable Agricultural Practices and Farm Production: A Case of Pakistani Citrus Growers,INCLUDE,INCLUDE,Include
125896711,Factors affecting adaptation to climate change through agroforestry in Kenya,INCLUDE,INCLUDE,Include
125893939,"Factors affecting farm management adaptation strategies to climate change: The case of western Lake Tana and upper Beles watersheds, North West Ethiopia",INCLUDE,INCLUDE,Include
125892211,Factors affecting fish yield and profit in fish pen culture in flooded ricefields,EXCLUDE,INCLUDE,Exclude
125890897,"Factors effecting farmers' risk attitude and risk perceptions: THE case of Khyber Pakhtunkhwa, Pakistan",EXCLUDE,EXCLUDE,Exclude
125897172,Farmer-Herders' Conflict and Climate Change: Response Strategies Needed in Nigeria and Other African Countries,EXCLUDE,INCLUDE,Exclude
125898779,"Farmers’ Perceptions on Drought, Low Soil Fertility, Coping Strategies and Preferred Traits of Beans (Phaseolus vulgaris L.) in Balaka District of Malawi",EXCLUDE,EXCLUDE,Include
125897216,Farmers’ Perspective and Adaptation Efforts to Tackle the Impacts of Climate Change,INCLUDE,INCLUDE,Include
125904029,Farmers’ willingness to pay for weather and climate information services in sub-Saharan Africa: a systematic review with meta-analysis,EXCLUDE,EXCLUDE,Exclude
125905141,Food security complexities in the Global South,EXCLUDE,EXCLUDE,Exclude
125890222,Household food security in the face of climate change in the Hindu-Kush Himalayan region,INCLUDE,INCLUDE,Include
125894076,How to effectively enhance sustainable livelihoods in smallholder systems: A comparative study from Western Kenya,INCLUDE,INCLUDE,Include
125893249,Impact assessment of ring vaccination to control economic losses of foot and mouth disease in Pakistan,EXCLUDE,EXCLUDE,Exclude
125901213,Impact of Cropping Pattern and Climatic Parameters in Lower Chenab Canal System—Case Study from Punjab Pakistan,EXCLUDE,EXCLUDE,Exclude
125891621,Impacts of climate change and variability on cattle production in southern Ethiopia: Perceptions and empirical evidence,EXCLUDE,EXCLUDE,Exclude
125890621,Impacts of Climate Change in the Andean Foothills of Chile: Economic and Cultural Vulnerability of Indigenous Mapuche Livelihoods,EXCLUDE,EXCLUDE,Exclude
125901241,Indigenous African Orphan Legumes: Potential for Food and Nutrition Security in SSA,EXCLUDE,EXCLUDE,Exclude
125891735,Indigenous past climate knowledge as cultural built-in object and its accuracy,EXCLUDE,EXCLUDE,Exclude
125895007,"Indigenous understanding of climate change, impacts and coping strategies in a rural setting of Kwara State, Nigeria",INCLUDE,INCLUDE,Include
125897296,Influence of weather shocks and copingstrategies on food consumption: Evidence from rural Niger,INCLUDE,INCLUDE,Include
125903627,Information intervention effects on farmers' adaptation to climate change: a randomized controlled trial among banana farmers in China,EXCLUDE,INCLUDE,Include
125893096,"Investments in agricultural water management for poverty reduction in Africa: Case studies of Limpopo, Nile, and Volta river basins",EXCLUDE,EXCLUDE,Exclude
125904776,Iranian farmers' response to the drought crisis: How can the consequences of drought be reduced?,INCLUDE,INCLUDE,Include
125895291,"Irrigation water management: Farmers’ practices, perceptions and adaptations at Gumselassa irrigation scheme, North Ethiopia",INCLUDE,INCLUDE,Include
125905768,"Linking climate change perceptions, adaptive strategies, and food insecurity: evidence from southwest coastal Bangladesh",INCLUDE,INCLUDE,Include
125902181,Livelihood diversification and food security in chronically food-insecure regions: Evidence from rural northwest Ethiopia,EXCLUDE,INCLUDE,Exclude
125895232,Maize seed choice and perceptions of climate variability among smallholder farmers,INCLUDE,INCLUDE,Exclude
125899524,Mechanisms and Empirical Analysis of the Impact of Soil and Water Conservation on the Livelihood and Well-Being of Farmer Households: A Case Study in Desert–Loess Transition Zone of China,INCLUDE,INCLUDE,Include
125905151,"Mitigating the Public Health Issues Caused by the Filarial Vector, Culex quinquefasciatus (Diptera: Culicidae) Through Phytocontrol and Larval Source Marker Management",EXCLUDE,EXCLUDE,Exclude
125893903,Modelling farmer choices for water security measures in the Litani river basin in Lebanon,EXCLUDE,INCLUDE,Include
125903244,"Moderate N fertilizer inputs under proper water management enhanced off-season rice production in central Benin, West Africa",EXCLUDE,EXCLUDE,Exclude
125901115,Nexus between Coping Strategies and Households’ Agricultural Drought Resilience to Food Insecurity in South Africa,INCLUDE,INCLUDE,Include
125904344,"Organic fertilizer application in wheat production of China: History, bottleneck, and strategy",EXCLUDE,EXCLUDE,Exclude
125904604,"Perception of smallholder farmers about climate change and its impacts on crop production across agroecological zones of the Gassera District, Southeastern Ethiopia",EXCLUDE,EXCLUDE,Exclude
125893213,"Perceptions and practices of climate change adaptation and mitigation strategies among farmers in the Konta Special District, Ethiopia",INCLUDE,INCLUDE,Include
125902627,Pricing weather index insurance for pepper plantation based on historical burn analysis,EXCLUDE,EXCLUDE,Include
125899214,"Quantification of Mountainous Hydrological Processes in the Aktash River Watershed of Uzbekistan, Central Asia, over the Past Two Decades",EXCLUDE,EXCLUDE,Exclude
125889838,Reducing pesticide runoff to the caribbean sea: A formidable regional challenge,EXCLUDE,EXCLUDE,Exclude
125901365,Research progress in molecular mechanism of cold resistance in banana,EXCLUDE,EXCLUDE,Exclude
125897221,Resilience to climate change in industrial shrimping in Bangladesh: Assessing the comparative role of the stakeholders,INCLUDE,INCLUDE,Exclude
125905682,Riverbank erosion vulnerability assessment and coping strategies: A case study of the riparian communities in the Mekong River Basin in Cambodia,EXCLUDE,INCLUDE,Exclude
125895822,Rural families’ interpretations of experiencing unexpected transition in the wake of a natural disaster,EXCLUDE,INCLUDE,Exclude
125903593,"Scientometric analysis of climate change in artisanal fisheries over 2004–2024: trends, networks and knowledge gaps",EXCLUDE,EXCLUDE,Exclude
125899232,Seasonal Dynamics Impact Habitat Preferences and Protected Area Use of the Critically Endangered Kordofan Giraffe (Giraffa camelopardalis antiquorum),EXCLUDE,EXCLUDE,Exclude
125901436,Seroepidemiology of Crimean-Congo Haemorrhagic Fever among cattle in Cameroon: Implications from a One Health perspective,EXCLUDE,EXCLUDE,Exclude
125903352,Smallholders’ Perceptions of Environmental Services and of Agri-Environmental Schemes in Mid-Western Brazil,EXCLUDE,EXCLUDE,Exclude
125903493,Smart Agriculture Yield Prediction Using Machine Learning,EXCLUDE,EXCLUDE,Exclude
125891246,Spatio-temporal change and its effects on landscape pattern of Jinta oasis in arid China from 1963 to 2009,EXCLUDE,EXCLUDE,Exclude
125906449,Status of crab fishery resources ( Portunus pelagicus) on the Coast of Kebumen Regency,EXCLUDE,EXCLUDE,Include
125889975,Sub1A is an ethylene-response-factor-like gene that confers submergence tolerance to rice,EXCLUDE,EXCLUDE,Exclude
125903032,"The Impact of Climate Change on Agricultural Risks in Southern Africa: A Case Study of Mutoko District, Zimbabwe",INCLUDE,EXCLUDE,Include
125897698,The impact of climate change on the labor allocation: Empirical evidence from China,EXCLUDE,INCLUDE,Exclude
125892384,The pacific agribusiness research for development initiative (PARDI): A novel approach to horticultural development in the pacific,EXCLUDE,EXCLUDE,Exclude
125895995,The thermal tolerance of a tropical population of blue crab (Callinectes sapidus) modulates aerobic metabolism during hypoxia,EXCLUDE,EXCLUDE,Exclude
125905532,"The Western Greece Soil Information System (WΕSIS)—A Soil Health Design Supported by the Internet of Things, Soil Databases, and Artificial Intelligence Technologies in Western Greece",EXCLUDE,EXCLUDE,Exclude
125901257,"Transdisciplinary, Co-Designed and Adaptive Management for the Sustainable Development of Rongcheng, a Coastal City in China in the Context of Human Activities and Climate Change",EXCLUDE,EXCLUDE,Exclude
125897820,Typology of vulnerability of wheat farmers in Northeast Iran and implications for their adaptive capacity,EXCLUDE,EXCLUDE,Exclude
125895022,"Understanding resilience of pastoralists to climate change and variability in the Southern Afar Region, Ethiopia",EXCLUDE,INCLUDE,Include
125893257,Understanding social-ecological challenges of a small-scale hilsa (Tenualosa ilisha) fishery in Bangladesh,EXCLUDE,EXCLUDE,Include
125899788,Understanding the contexts of effectiveness of adaptation to climate change and variability: a qualitative study of smallholder farmers in central Ethiopia,INCLUDE,INCLUDE,Include
125893064,Use of plasma gastrin and pepsinogen levels as diagnostic markers of abomasal dysfunction in Marwari sheep of arid tract,EXCLUDE,EXCLUDE,Exclude
125901770,"Vulnerability Assessment of Agriculture at Different Spatial Scales in Konya, Turkey",EXCLUDE,EXCLUDE,Exclude
125905222,Water Management and Hydrological Characteristics of Paddy-Rice Fields under Alternate Wetting and Drying Irrigation Practice as Climate Smart Practice: A Review,EXCLUDE,EXCLUDE,Exclude
125893102,Within flood season variation in fruit consumption and seed dispersal by two characin fishes of the Amazon,EXCLUDE,EXCLUDE,Exclude
125891543,"Women's perceptions of the Girinka (one cow per poor family) programme, poverty alleviation and climate resilience in Rwanda",INCLUDE,INCLUDE,Include
125895190,Wood vinegar seed priming improves yield and suppresses weeds in dryland direct-seeding rice under rainfed production,EXCLUDE,EXCLUDE,Exclude